datetime,temp,dew,humidity,precip,precipprob,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
1/1/2022 12:00 AM,22,20,88.45,0,0,1.8,320,50.1,10,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 1:00 AM,22.4,20.6,89.65,0,0,1.8,340,78.6,17.1,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 2:00 AM,22,20,88.45,0,0,3.6,330,50.1,10,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 3:00 AM,23,21,88.52,0,0,5.4,330,50.1,10,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 4:00 AM,22.2,20.4,89.26,0,0,3.6,320,78.6,17.1,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 5:00 AM,22,20,88.44,0,0,7.6,310,50.1,10,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 6:00 AM,22,19,83.16,0,0,3.6,320,89.4,10,32.9,0.1,0,Partially cloudy,partly-cloudy-night
1/1/2022 7:00 AM,21.4,20.2,92.82,0.008,100,9.3,330,78.6,17.1,173.6,0.6,2,"Rain, Partially cloudy",rain
1/1/2022 8:00 AM,23,21,88.55,0,0,7.6,320,50.1,8,343.5,1.2,3,Partially cloudy,partly-cloudy-day
1/1/2022 9:00 AM,25,21,78.54,0,0,5.4,350,50.1,8,510.3,1.8,5,Partially cloudy,partly-cloudy-day
1/1/2022 10:00 AM,24.9,20.2,75.49,0,0,10.9,67,89.5,16.5,692,2.5,7,Partially cloudy,partly-cloudy-day
1/1/2022 11:00 AM,26,20,69.59,0,0,16.5,90,50.1,10,782.5,2.8,8,Partially cloudy,partly-cloudy-day
1/1/2022 12:00 PM,24,21,83.37,0,0,13,60,89.4,8,766.5,2.8,8,Partially cloudy,partly-cloudy-day
1/1/2022 1:00 PM,25.4,21,76.58,0.307,100,9.9,53,78.6,16.5,678.5,2.4,7,"Rain, Partially cloudy",rain
1/1/2022 2:00 PM,25,20,73.86,0,0,14.7,70,50.1,8,532.8,1.9,5,Partially cloudy,partly-cloudy-day
1/1/2022 3:00 PM,25,21,78.53,0,0,13,60,50,8,319.3,1.1,3,Partially cloudy,partly-cloudy-day
1/1/2022 4:00 PM,24.9,20.5,76.49,0,0,11.4,70,78.6,9.5,113.3,0.4,1,Partially cloudy,partly-cloudy-day
1/1/2022 5:00 PM,24,20,78.39,0,0,13,60,50,8,3.6,0,0,Partially cloudy,partly-cloudy-day
1/1/2022 6:00 PM,24,20,78.39,0,0,11.2,60,50,8,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 7:00 PM,24,20.6,81.21,0.025,100,10.4,67,78.5,9.5,0,,0,"Rain, Partially cloudy",rain
1/1/2022 8:00 PM,24,20,78.4,0,0,13,60,50,8,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 9:00 PM,24,20,78.39,0,0,9.4,60,50.1,8,0,,0,Partially cloudy,partly-cloudy-night
1/1/2022 10:00 PM,23.7,20.2,80.81,0,0,5.3,50,78.6,9.5,0,,0,Partially cloudy,partly-cloudy-night
