datetime,temp,dew,humidity,precip,precipprob,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,conditions,icon
2023-02-11T00:00:00,25,23,88.7,0,0,7.5,140,49.9,8,0,,Partially cloudy,partly-cloudy-night
2023-02-11T01:00:00,24.4,22.9,91,0,0,4.7,171,85.7,16.6,0,,Partially cloudy,partly-cloudy-night
2023-02-11T02:00:00,24,23,94.17,0,0,3.6,180,49.9,8,0,,Partially cloudy,partly-cloudy-night
2023-02-11T03:00:00,23,22,94.11,0,0,1.8,170,28.6,8,0,,Partially cloudy,partly-cloudy-night
2023-02-11T04:00:00,23.4,21.6,89.36,0,0,0,183.8,64.3,16.3,0,,Partially cloudy,partly-cloudy-night
2023-02-11T05:00:00,23,22,94.11,0,0,3.6,160,28.6,6,0,,Partially cloudy,partly-cloudy-night
2023-02-11T06:00:00,23,22,94.12,0,0,3.6,200,28.6,6,0,,Partially cloudy,partly-cloudy-night
2023-02-11T07:00:00,23.1,22,93.72,0,0,0,140,64.3,15.7,23,0.1,Partially cloudy,partly-cloudy-day
2023-02-11T08:00:00,25,22,83.5,0,0,1.8,180,28.6,8,121,0.4,Partially cloudy,partly-cloudy-day
2023-02-11T09:00:00,26,23,83.57,0,0,7.6,130,28.6,8,295,1.1,Partially cloudy,partly-cloudy-day
2023-02-11T10:00:00,27.1,22.6,76.44,0,0,7.2,160,78.6,16.6,616,2.2,Partially cloudy,partly-cloudy-day
2023-02-11T11:00:00,27,23,78.76,0,0,11.1,110,49.9,8,809,2.9,Partially cloudy,partly-cloudy-day
2023-02-11T12:00:00,28,23,74.29,0,0,12.9,120,28.6,10,882,3.2,Partially cloudy,partly-cloudy-day
2023-02-11T13:00:00,28.1,22.2,70.53,0,0,12.4,96,64.3,17.1,879,3.2,Partially cloudy,partly-cloudy-day
2023-02-11T14:00:00,28,22,69.93,0,0,16.5,110,28.6,10,801,2.9,Partially cloudy,partly-cloudy-day
2023-02-11T15:00:00,28,22,69.93,0,0,20.5,120,28.6,10,667,2.4,Partially cloudy,partly-cloudy-day
2023-02-11T16:00:00,27.2,21.7,71.93,0,0,15.5,113,64.3,17.1,479,1.7,Partially cloudy,partly-cloudy-day
2023-02-11T17:00:00,26,22,78.62,0,0,14.7,120,28.6,10,248,0.9,Partially cloudy,partly-cloudy-day
2023-02-11T18:00:00,25,22,83.44,0,0,9.4,120,28.6,10,38,0.1,Partially cloudy,partly-cloudy-night
2023-02-11T19:00:00,25.1,22.2,84.2,0,0,3.6,140,64.3,17.1,0,,Partially cloudy,partly-cloudy-night
2023-02-11T20:00:00,25,22,83.46,0,0,5.4,120,28.6,10,0,,Partially cloudy,partly-cloudy-night
2023-02-11T21:00:00,25,23,88.68,0,0,7.6,120,49.9,10,0,,Partially cloudy,partly-cloudy-night
2023-02-11T22:00:00,24.7,22.2,86.02,0,0,3.6,110,78.6,17.1,0,,Partially cloudy,partly-cloudy-night
2023-02-11T23:00:00,24,22,88.6,0,0,5.4,150,89.2,10,0,,Partially cloudy,partly-cloudy-night
2023-02-12T00:00:00,24,22,88.62,0,0,0,1,89.2,8,0,,Partially cloudy,partly-cloudy-night
2023-02-12T01:00:00,24.4,22.2,87.89,0,0,0,182,64.3,16.6,0,,Partially cloudy,partly-cloudy-night
2023-02-12T02:00:00,23,22,94.11,0,0,7.5,170,28.6,6,0,,Partially cloudy,partly-cloudy-night
2023-02-12T03:00:00,23,22,94.11,0,0,3.6,170,28.6,6,0,,Partially cloudy,partly-cloudy-night
2023-02-12T04:00:00,23.4,22.2,92.92,0,0,0,191.4,64.3,15.7,0,,Partially cloudy,partly-cloudy-night
2023-02-12T05:00:00,23,22,94.12,0,0,3.6,159,49.9,5,0,,Partially cloudy,partly-cloudy-night
2023-02-12T06:00:00,23,22,94.12,0,0,1.8,190,89.4,4,0,,Partially cloudy,partly-cloudy-night
2023-02-12T07:00:00,23.7,22.7,94.15,0,0,3.6,140,82.3,15.7,33,0.1,Partially cloudy,partly-cloudy-day
2023-02-12T08:00:00,25,23,88.68,0,0,7.5,140,50,7,235,0.8,Partially cloudy,partly-cloudy-day
2023-02-12T09:00:00,27,23,78.78,0,0,7.5,140,50,8,468,1.7,Partially cloudy,partly-cloudy-day
2023-02-12T10:00:00,27.7,23.1,75.86,0,0,6.7,105,78.6,17.1,669,2.4,Partially cloudy,partly-cloudy-day
2023-02-12T11:00:00,28,23,74.29,0,0,14.7,120,28.8,10,815,2.9,Partially cloudy,partly-cloudy-day
2023-02-12T12:00:00,28,23,74.29,0,0,12.9,110,28.8,10,893,3.2,Partially cloudy,partly-cloudy-day
2023-02-12T13:00:00,28.5,22.1,68.49,0,0,10.8,110,64.3,17.1,896,3.2,Partially cloudy,partly-cloudy-day
2023-02-12T14:00:00,28,22,69.9,0,0,16.5,100,28.6,10,822,3,Partially cloudy,partly-cloudy-day
2023-02-12T15:00:00,28,22,69.89,0,0,14.7,110,28.6,10,680,2.4,Partially cloudy,partly-cloudy-day
2023-02-12T16:00:00,28.4,22.2,69.35,0,0,8.8,90,64.3,17.1,484,1.7,Partially cloudy,partly-cloudy-day
2023-02-12T17:00:00,26,22,78.62,0,0,7.6,100,28.6,10,248,0.9,Partially cloudy,partly-cloudy-day
2023-02-12T18:00:00,25,22,83.44,0,0,7.6,80,28.6,10,39,0.1,Partially cloudy,partly-cloudy-night
2023-02-12T19:00:00,25.1,22.2,84.21,0,0,3.6,90,64.3,17.1,0,,Partially cloudy,partly-cloudy-night
2023-02-12T20:00:00,25,22,83.46,0,0,5.4,41,28.6,10,0,,Partially cloudy,partly-cloudy-night
2023-02-12T21:00:00,25,22,83.46,0,0,3.6,180,28.6,10,0,,Partially cloudy,partly-cloudy-night
2023-02-12T22:00:00,25.1,22.4,84.95,0,0,3.1,110,64.3,17.1,0,,Partially cloudy,partly-cloudy-night
2023-02-12T23:00:00,25,22,83.43,0,0,1.8,230,28.6,10,0,,Partially cloudy,partly-cloudy-night
