datetime,temp,dew,humidity,precip,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
2023-01-01T00:00:00,20,16,77.8,0,7.6,330,89.4,10,0,,0,Partially cloudy,partly-cloudy-night
2023-01-01T01:00:00,20.7,16.2,75.8,0,11.4,326,96.6,16.6,0,,0,Overcast,cloudy
2023-01-01T02:00:00,20,16,77.8,0,3.6,300,89.4,8,0,,0,Partially cloudy,partly-cloudy-night
2023-01-01T03:00:00,20,16,77.8,0,1.8,270,89.4,8,0,,0,Partially cloudy,partly-cloudy-night
2023-01-01T04:00:00,20.2,16.4,78.55,0,0,270,96.6,16.6,0,,0,Overcast,cloudy
2023-01-01T05:00:00,20,16,77.8,0,3.6,270,89.4,8,0,,0,Partially cloudy,partly-cloudy-night
2023-01-01T06:00:00,20,16,77.8,0,3.6,300,89.4,8,0,,0,Partially cloudy,partly-cloudy-night
2023-01-01T07:00:00,20.1,16.6,80.32,0,0,250,96.6,9.5,4,0,0,Overcast,cloudy
2023-01-01T08:00:00,21,17,77.96,0,3.6,290,89.4,8,20,0.1,0,Partially cloudy,partly-cloudy-day
2023-01-01T09:00:00,21,16,73.17,0,3.6,290,89.4,8,47,0.2,0,Partially cloudy,partly-cloudy-day
2023-01-01T10:00:00,21.7,16.9,73.97,0,3.6,290,96.6,9.4,66,0.2,1,Overcast,cloudy
2023-01-01T11:00:00,22,16,68.84,0,7.6,320,89.4,10,67,0.2,1,Partially cloudy,partly-cloudy-day
2023-01-01T12:00:00,22,17,73.33,0,11.2,340,89.4,10,82,0.3,1,Partially cloudy,partly-cloudy-day
2023-01-01T13:00:00,22,16.7,72.04,0.008,6.7,317,96.6,10,97,0.3,1,"Rain, Overcast",rain
2023-01-01T14:00:00,22,17,73.35,0,9.4,320,89.4,10,60,0.2,1,Partially cloudy,partly-cloudy-day
2023-01-01T15:00:00,22,16,68.84,0,11.2,320,50.1,10,49,0.2,0,Partially cloudy,partly-cloudy-day
2023-01-01T16:00:00,21.4,16.4,73.24,0,6.3,340,96.6,10,25,0.1,0,Overcast,cloudy
2023-01-01T17:00:00,21,16,73.19,0,9.4,350,89.4,10,11,0,0,Partially cloudy,partly-cloudy-day
